noteLocation,xValue,isTrap
0.00 ,2.00 ,0.00 
4.00 ,4.00 ,0.00 
6.00 ,3.00 ,0.00 
8.00 ,2.00 ,0.00 
12.00 ,4.00 ,0.00 
14.00 ,3.00 ,0.00 
16.00 ,2.00 ,0.00 
20.00 ,4.00 ,0.00 
22.00 ,3.00 ,0.00 
24.00 ,2.00 ,0.00 
28.00 ,4.00 ,0.00 
30.00 ,3.00 ,0.00 
32.00 ,2.00 ,0.00 
36.00 ,4.00 ,0.00 
38.00 ,3.00 ,0.00 
40.00 ,2.00 ,0.00 
44.00 ,4.00 ,0.00 
46.00 ,3.00 ,0.00 
48.00 ,2.00 ,0.00 
52.00 ,4.00 ,0.00 
54.00 ,3.00 ,0.00 
56.00 ,2.00 ,0.00 
58.00 ,5.00 ,0.00 
60.00 ,4.00 ,0.00 
62.00 ,3.00 ,0.00 
64.00 ,2.00 ,0.00 
68.00 ,4.00 ,0.00 
70.00 ,3.00 ,0.00 
72.00 ,2.00 ,0.00 
76.00 ,4.00 ,0.00 
78.00 ,3.00 ,0.00 
80.00 ,2.00 ,0.00 
84.00 ,4.00 ,0.00 
86.00 ,3.00 ,0.00 
88.00 ,2.00 ,0.00 
92.00 ,4.00 ,0.00 
94.00 ,3.00 ,0.00 
96.00 ,2.00 ,0.00 
100.00 ,4.00 ,0.00 
102.00 ,3.00 ,0.00 
104.00 ,2.00 ,0.00 
108.00 ,4.00 ,0.00 
110.00 ,3.00 ,0.00 
112.00 ,2.00 ,0.00 
116.00 ,4.00 ,0.00 
118.00 ,3.00 ,0.00 
120.00 ,2.00 ,0.00 
124.00 ,2.00 ,0.00 
